"di_id","year","budget.type","l1","l2","l3","l4","l5","l6","value","magnitude","child.value.sum","absdiff"
"SS",2013,"actual","total-expenditure","capital-expenditure",,,,,13,1e+08,20,7
"None",2016,"proj","total-revenue-and-grants","revenue","tax","production-and-consumption",,,14.7937,1e+10,7.8175,6.9762
"AZ",2008,"actual","total-expenditure","recurrent-expenditures",,,,,6.816,1e+09,0.033,6.783
"BI",2004,"actual","financing","net-external-finance",,,,,3.74,1e+10,10.41,6.67
"NE",2006,"actual","total-revenue-and-grants","grants",,,,,8.986,1e+11,2.35,6.636
"NE",2002,"actual","total-revenue-and-grants","grants",,,,,7.46,1e+10,14,6.54
"UA",2004,"actual","total-expenditure","recurrent-expenditure",,,,,12.0868,1e+10,5.5631,6.5237
"MR",2012,"actual","total-revenue-and-grants","grants",,,,,6.78,1e+10,0.29,6.49
"NG",2022,"proj","total-revenue-and-grants","revenue","oil-revenue",,,,6.98,1e+12,0.552,6.428
"TL",2003,"actual","total-expenditure","recurrent-expenditure",,,,,53.3,1e+06,46.9,6.39999999999999
"DJ",2012,"actual","financing","net-domestic-finance",,,,,6.2,1e+09,12.496,6.296
"ZM",2014,"actual","total-expenditure",,,,,,40.64,1e+09,46.85,6.21
"ZM",2014,"actual","total-expenditure","capital-expenditure",,,,,8.87,1e+09,2.66,6.21
"TD",2019,"proj","financing","net-external-finance",,,,,-1,1e+10,5.2,6.2
"None",2015,"actual","total-revenue-and-grants","revenue","tax","production-and-consumption",,,13.3557,1e+10,7.2745,6.0812
"TD",2009,"actual","financing","net-external-finance",,,,,3,1e+10,8.9,5.9
"NE",2003,"actual","total-revenue-and-grants","grants",,,,,7.6,1e+10,13.45,5.85
"NG",2003,"actual","total-expenditure","federal-government-expenditure","federal-government-recurrent-expenditure",,,,13.37,1e+11,19.18,5.81
"MG",2004,"actual","financing","net-external-finance",,,,,5.182,1e+11,10.975,5.793
"CV",2012,"actual","financing",,,,,,15.067,1e+09,9.353,5.714
"GY",2022,"proj","total-expenditure","capital-expenditure",,,,,12.93,1e+10,18.62,5.69
"None",2014,"actual","total-revenue-and-grants","revenue","tax","production-and-consumption",,,12.0421,1e+10,6.3995,5.6426
"NG",2021,"proj","total-revenue-and-grants","revenue","oil-revenue",,,,6.158,1e+12,0.557,5.601
"GY",2021,"proj","total-expenditure","capital-expenditure",,,,,12.67,1e+10,18.25,5.58
"JO",2007,"actual","total-revenue-and-grants","revenue","nontax-revenue",,,,11.05,1e+08,5.5,5.55
"TD",2006,"actual","financing","net-external-finance",,,,,2.9,1e+10,8.44,5.54
"NG",2020,"proj","total-revenue-and-grants","revenue","oil-revenue",,,,6.071,1e+12,0.571,5.5
"NE",2001,"actual","total-revenue-and-grants","grants",,,,,6.65,1e+10,12.05,5.4
"ZM",2019,"proj","total-expenditure","capital-expenditure",,,,,13.229,1e+09,7.914,5.315
"ZM",2019,"proj","total-expenditure",,,,,,67.386,1e+09,72.701,5.315
"CV",2011,"actual","financing",,,,,,11.734,1e+09,6.43,5.304
"MR",2012,"actual","financing","net-external-finance","other",,,,5.46,1e+10,10.76,5.3
"DJ",2002,"actual","total-revenue-and-grants","grants",,,,,6.227,1e+09,1.042,5.185
"ZM",2018,"proj","total-expenditure",,,,,,65.681,1e+09,70.847,5.16600000000001
"ZM",2018,"proj","total-expenditure","capital-expenditure",,,,,13.557,1e+09,8.391,5.166
"SB",2000,"actual","total-expenditure","recurrent-expenditure",,,,,38.52,1e+07,33.42,5.1
